   GCN        Name       Time    TimeHHMMSS  Duration   Fluence  Err_Fluence(-)  Err_Fluence(+)      PFti  PFscale       PF  Err_PF(-)  Err_PF(+)    Ep  Err_Ep(-)  Err_Ep(+)       Mode  Z(Redshift) 
 27912  GRB200605A  65858.111  18:17:38.111      0.4s   3.63E-6        -0.51E-6        +0.60E-6    +0.016    0.016  2.48E-5   -0.69E-5   +0.75E-5   744       -174       +273  triggered           -- 
 27883  GRB200528A  37675.256  10:27:55.256     60.0s   2.12E-5        -0.07E-5        +0.07E-5    +1.696    0.064  2.38E-6   -0.35E-6   +0.35E-6    64         -5         +5  triggered           -- 
 27867  GRB200524A  18243.246  05:04:03.246       89s   3.48E-5        -0.62E-5        +0.74E-5    +3.280    0.064  3.48E-5   -0.62E-5   +0.74E-5   215        -46        +48  triggered           -- 
 27796  GRB200521A  44201.268  12:16:41.268      0.3s   1.28E-5        -0.15E-5        +0.15E-5    +0.080    0.016  7.38E-5   -0.87E-5   +0.87E-5  1358       -170       +196  triggered           -- 
 27635  GRB200422A  26537.847  07:22:17.847       40s   5.12E-4        -0.15E-4        +0.15E-4    +3.728    0.064  1.42E-4   -0.12E-4   +0.12E-4   552        -38        +42  triggered           -- 
 27596  GRB200415A  31681.401  08:48:01.401       5ms    8.1E-6         -0.8E-6         +0.9E-6    -0.002    0.002   1.0E-3   -0.08E-3   +0.08E-3   818       -112       +136  triggered           -- 
 27581  GRB200412B  32924.203  09:08:44.203     30.5s   1.12E-4        -0.05E-4        +0.05E-4    +5.744    0.064  5.12E-5   -0.43E-5   +0.44E-5   289        -16        +16  triggered           -- 
 27577  GRB200412A    25034.8  06:57:14.800     13.3s   3.27E-5        -0.32E-5        +0.35E-5    +3.792    0.064  1.18E-5   -0.15E-5   +0.15E-5   229        -19        +20  triggered           -- 
 27525  GRB200327A  75409.744  20:56:49.744      0.2s   2.32E-6        -0.67E-6        +0.82E-6    -0.016    0.016  2.45E-5   -1.16E-5   +1.37E-5  1323       -545       +961  triggered           -- 
 27407  GRB200313B  39435.021  10:57:15.021      1.4s   6.83E-7        -2.07E-7        +3.49E-7    -0.016    0.016  1.90E-6   -1.18E-6   +1.53E-6   145        -55       +252  triggered           -- 
 27399  GRB200313A   6098.088  01:41:38.088       43s   1.46E-4        -0.14E-4        +0.15E-4    +2.528    0.064  3.42E-5   -0.52E-5   +0.53E-5   442        -66        +77  triggered           -- 
 27398  GRB200311A  54974.737  15:16:14.737     65.2s   8.84E-5        -0.76E-5        +0.89E-5    +1.792    0.064  1.56E-5   -0.28E-5   +0.28E-5   854       -112       +142  triggered           -- 
 27316  GRB200303A   9268.336  02:34:28.336     67.1s   3.88E-5        -1.20E-5        +0.80E-5   +32.800    0.064  2.38E-6   -0.96E-6   +1.15E-6   154        -44        +82  triggered           -- 
 27228  GRB200219C  86229.162  23:57:09.162      9.8s   1.87E-5        -0.11E-5        +0.13E-5    +3.488    0.064  1.87E-5   -0.11E-5   +0.13E-5   209        -21        +27  triggered           -- 
 27226  GRB200219A  27405.513  07:36:45.513      0.4s   4.12E-6        -0.61E-6        +0.67E-6    +0.182    0.016  2.34E-5   -0.73E-5   +0.76E-5   952       -173       +218  triggered           -- 
 26975  GRB200131A  81673.507  22:41:13.507        3s   1.60E-5        -0.08E-5        +0.09E-5    +0.068    0.064  1.64E-5   -0.27E-5   +0.28E-5   228        -15        +17  triggered           -- 
 26951  GRB200125B  74611.206  20:43:31.206       10s   6.01E-5        -0.36E-5        +0.37E-5    +1.312    0.064  3.92E-5   -0.44E-5   +0.46E-5   211        -15        +16  triggered           -- 
 26950  GRB200130B  35999.282  09:59:59.282        --   1.10E-5        -0.09E-5        +0.11E-5    +0.284    0.064  6.59E-6   -1.21E-6   +1.34E-6    90         -6         +6  triggered           -- 
 26865  GRB200122A   6066.859  01:41:06.859       40s    2.0E-5         -0.3E-5         +0.3E-5    +6.080    0.064   5.7E-6    -0.7E-6    +0.7E-6   148        -16        +15  triggered           -- 
 26857  GRB200120A  83096.553  23:04:56.553       12s    8.2E-6         -0.7E-6         +0.8E-6    +3.368    0.064   4.0E-6    -0.5E-6    +0.4E-6   221        -32        +47  triggered           -- 
 26637  GRB200101A  74367.095  20:39:27.095     81.8s   1.43E-4        -0.09E-4        +0.09E-4    +7.776    0.064  1.12E-4   -0.12E-4   +0.12E-4   552        -46        +49  triggered           -- 
 26614  GRB191227A   5970.414  01:39:30.414       52s   1.02E-4        -0.08E-4        +0.09E-4    +8.096    0.064  1.86E-5   -0.35E-5   +0.36E-5   275        -26        +30  triggered           -- 
 26613  GRB191227B  62500.487  17:21:40.487      0.2s   8.80E-6        -1.42E-6        +1.40E-6    +0.030    0.016  8.83E-5   -2.12E-5   +2.10E-5   985       -323       +373  triggered           -- 
 26576  GRB191221B  74349.647  20:39:09.647       35s    1.0E-4         -0.1E-4         +0.1E-4    +8.064    0.064   1.9E-5    -0.2E-5    +0.2E-5   377        -29        +30  triggered        1.148 
 26506  GRB191218A   9758.735  02:42:38.735     78.8s   3.92E-5        -0.37E-5        +0.45E-5    +1.440    0.064  4.08E-6   -1.07E-6   +1.07E-6   330        -44        +61  triggered           -- 
 26344  GRB191202A  74930.521  20:48:50.521     17.6s   2.78E-5        -0.68E-5        +0.76E-5    +7.024    0.064  8.80E-6   -2.80E-6   +3.04E-6   265        -87        +91  triggered           -- 
 26149  GRB191031D         --            --        --   5.72E-6        -0.63E-6        +0.69E-6    -0.016    0.016  4.12E-5   -0.72E-5   +0.80E-5   735        -92       +112         --           -- 
 26126  GRB191031D  77011.324  21:23:31.324     0.35s   2.72E-6        -0.27E-6        +0.31E-6    -0.016    0.016  1.95E-5   -0.32E-5   +0.38E-5   370        -46        +58  triggered           -- 
 26100  GRB191027A  55143.905  15:19:03.905      7.1s   5.24E-6        -1.01E-6        +1.84E-6    -0.002    0.064  7.53E-6   -2.28E-6   +2.60E-6   443       -153       +468  triggered           -- 
 26089  GRB191025B  67331.034  18:42:11.034      0.2s   8.41E-6        -1.44E-6        +1.52E-6    -0.006    0.016  1.32E-4   -0.32E-4   +0.33E-4  2184       -608       +812  triggered           -- 
 25974  GRB191004B   77626.99  21:33:46.990      5.5s   4.13E-6        -0.40E-6        +0.45E-6    +3.504    0.064  2.56E-6   -0.73E-6   +0.74E-6   172        -21        +27  triggered        1.260 
 25973  GRB191004A  65226.378  18:07:06.378        5s   2.00E-6        -0.41E-6        +0.62E-6    +1.872    0.064  2.38E-6   -0.83E-6   +1.02E-6   157        -37        +95  triggered           -- 
 25868  GRB190928A  47536.665  13:12:16.665      195s    4.9E-4         -0.3E-4         +0.3E-4  +103.168    0.256   9.0E-5    -0.2E-5    +0.2E-5   591        -88       +108  triggered           -- 
 25313  GRB190810A  58318.421  16:11:58.421      0.2s   2.29E-6        -0.40E-6        +0.85E-6    -0.042    0.016  2.23E-5   -0.55E-5   +0.92E-5  1120       -266       +656  triggered           -- 
