|Galaxy_name                    |R.A.       |Decl.        |Ang_R
ESO093-003                  	164.8582	-66.3326	  1.045
NGC0676                     	027.2388	5.9071	      3.085
NGC3838                     	176.0571	57.9481	      1.119
PGC061405                   	271.5334	22.6472	      0.477
ESO311-012                  	116.8918	-41.4521	  2.689
PGC044433                   	194.5782	13.3914	      0.629
NGC5666                     	218.2882	10.5108	      0.691
NGC2350                     	108.3007	12.266	      0.975
UGC10803                    	259.0219	73.4358	      0.89
NGC4765                     	193.3101	4.4634	      0.812
NGC5692                     	219.5754	3.4103	      0.644
NGC1012                     	039.8124	30.1517	      1.903
ESO513-015                  	225.9442	-25.8729	  0.932
NGC1302                     	049.9629	-26.0605      3.086
NGC3524                     	166.6336	11.3854	      1.045
NGC1291                     	049.3275	-41.108	      7.068
NGC7371                     	341.5155	-11.0012      1.346
NGC5744                     	221.661     -18.5133	  0.74
NGC4245                     	184.4031	29.6079	      2.341
PGC013359                   	054.3067	1.8600	      0.549
NGC2655                     	133.9119	78.2237	      3.624
ESO235-085                  	319.5675	-48.5375	  0.674
NGC4454                     	187.2114	-1.9391	      1.477
NGC5101                     	200.4424	-27.4304	  3.974
NGC5953                     	233.635     15.1938       1.409
NGC4293                     	185.3034	18.3826	      3.974
PGC069395                   	339.6624	39.7646       0.564
NGC4469                     	187.3666	8.7499	      2.508
NGC0693                     	027.6288	6.1451        1.734
PGC072242                   	355.9894	45.4157	      0.47
NGC3955                     	178.4881	-23.1641	  2.235
NGC1354                     	053.1223	-15.2212	  1.696
NGC3448                     	163.6642	54.3051	      3.884
UGC11920                    	332.1141	48.4408	      1.694
NGC1452                     	056.3427	-18.6336	  1.695
PGC2125664                  	332.5596	38.3916	      0.513
NGC3885                     	176.6938	-27.9222	  1.735
PGC1382460                  	109.3992	10.6451	      0.47
NGC4691                     	192.0568	-3.3328	      2.185
NGC3166                     	153.4405	3.4249	      3.382
NGC2893                     	142.5705	29.5401	      0.811
NGC2681                     	133.3863	51.3138	      2.625
NGC6340                     	257.6038	72.3044	      2.185
NGC5363                     	209.0301	5.2547        3.541
NGC6010                     	238.5796	0.5430        1.41
NGC3730                     	173.5579	-9.8456	      0.976
NGC5750                     	221.5462	-0.223	      2.134
NGC4599                     	190.1128	1.1969	      1.378
NGC4457                     	187.2459	3.5706	      1.991
NGC7232                     	333.9084	-45.8500      1.734
