   GCN        Name       Time    TimeHHMMSS  Duration                  Fluence           PFti  PFscale                       PF         Mode      z 
 27922          --         --            --        --  4.08(-0.34,+1.04)x10^-5    (BAT)+478.8    2.944  2.75(-0.62,+0.85)x10^-7  waitingmode     -- 
 27912  GRB200605A  65858.111  18:17:38.111       0.4  3.63(-0.51,+0.60)x10^-6         +0.016    0.016  2.48(-0.69,+0.75)x10^-5    triggered     -- 
 27883  GRB200528A  37675.256  10:27:55.256      60.0  2.12(-0.07,+0.07)x10^-5         +1.696    0.064  2.38(-0.35,+0.35)x10^-6    triggered     -- 
 27867  GRB200524A  18243.246  05:04:03.246        89  3.48(-0.62,+0.74)x10^-5         +3.280    0.064  6.33(-1.64,+1.75)x10^-6    triggered     -- 
 27796  GRB200521A  44201.268  12:16:41.268       0.3    (1.28 +/- 0.15)x10^-5         +0.080    0.016    (7.38 +/- 0.87)x10^-5    triggered     -- 
 27715          --         --            --       0.4                       --             --       --                       --    triggered     -- 
 27669          --         --            --       0.5  7.63(-0.75,+0.75)x10^-7         +0.004    0.016  9.10(-2.29,+2.29)x10^-6    triggered     -- 
 27667          --         --            --      23.6  1.09(-0.02,+0.02)x10^-4        +95.680    0.064  2.28(-0.27,+0.29)x10^-5    triggered     -- 
 27635  GRB200422A  26537.847  07:22:17.847        40  5.12(-0.15,+0.15)x10^-4         +3.728    0.064  1.42(-0.12,+0.12)x10^-4    triggered     -- 
 27631          --         --            --       0.6  1.15(-0.03,+0.03)x10^-5         +0.072    0.016  2.75(-0.23,+0.23)x10^-5    triggered     -- 
 27596  GRB200415A  31681.401  08:48:01.401        --    8.1(-0.8, +0.9)x10^-6         -0.002    0.002   1.0(-0.08,+0.08)x10^-3    triggered     -- 
 27581  GRB200412B  32924.203  09:08:44.203      30.5  1.12(-0.05,+0.05)x10^-4         +5.744    0.064  5.12(-0.43,+0.44)x10^-5    triggered     -- 
 27577  GRB200412A    25034.8  06:57:14.800      13.3  3.27(-0.32,+0.35)x10^-5         +3.792    0.064  1.18(-0.15,+0.15)x10^-5    triggered     -- 
 27554          --         --            --       0.2  1.55(-0.08,+0.08)x10^-6         -0.054    0.016  1.54(-0.15,+0.15)x10^-5    triggered     -- 
 27525  GRB200327A  75409.744  20:56:49.744       0.2  2.32(-0.67,+0.82)x10^-6         -0.016    0.016  2.45(-1.16,+1.37)x10^-5    triggered     -- 
 27407  GRB200313B  39435.021  10:57:15.021       1.4  6.83(-2.07,+3.49)x10^-7         -0.016    0.016  1.90(-1.18,+1.53)x10^-6    triggered     -- 
 27399  GRB200313A   6098.088  01:41:38.088        43  1.46(-0.14,+0.15)x10^-4         +2.528    0.064  3.42(-0.52,+0.53)x10^-5    triggered     -- 
 27398  GRB200311A  54974.737  15:16:14.737      65.2  8.84(-0.76,+0.89)x10^-5         +1.792    0.064  1.56(-0.28,+0.28)x10^-5    triggered     -- 
 27316  GRB200303A   9268.336  02:34:28.336      67.1  3.88(-1.20,+0.80)x10^-5        +32.800    0.064  2.38(-0.96,+1.15)x10^-6    triggered     -- 
 27228  GRB200219C  86229.162  23:57:09.162       9.8  1.87(-0.11,+0.13)x10^-5         +3.488    0.064  5.40(-1.08,+1.23)x10^-6    triggered     -- 
 27226  GRB200219A  27405.513  07:36:45.513       0.4  4.12(-0.61,+0.67)x10^-6         +0.182    0.016  2.34(-0.73,+0.76)x10^-5    triggered     -- 
 27034          --         --            --        --   1.12(-0.05,0.26)x10^-5  (BAT)+437.202    2.944  1.55(-0.09,+0.44)x10^-7    triggered  1.465 
 26975  GRB200131A  81673.507  22:41:13.507         3  1.60(-0.08,+0.09)x10^-5         +0.068    0.064  1.64(-0.27,+0.28)x10^-5    triggered     -- 
 26951  GRB200125B  74611.206  20:43:31.206        10  6.01(-0.36,+0.37)x10^-5         +1.312    0.064  3.92(-0.44,+0.46)x10^-5    triggered     -- 
 26950  GRB200130B  35999.282  09:59:59.282        --  1.10(-0.09,+0.11)x10^-5         +0.284    0.064  6.59(-1.21,+1.34)x10^-6    triggered     -- 
 26935          --         --            --        --  2.04(-0.16,+0.22)x10^-5    (BAT)+287.4    2.944  2.80(-0.58,+0.62)x10^-7  waitingmode     -- 
 26865  GRB200122A   6066.859  01:41:06.859        --        (2.0 ± 0.3)x10^-5             --       --                       --    triggered     -- 
 26857  GRB200120A  83096.553  23:04:56.553        12     8.2(-0.7,+0.8)x10^-6         +3.368    0.064     4.0(-0.5,+0.4)x10^-6    triggered     -- 
 26637  GRB200101A  74367.095  20:39:27.095      81.8  1.43(-0.09,+0.09)x10^-4         +7.776    0.064  1.12(-0.12,+0.12)x10^-4    triggered     -- 
 26614  GRB191227A   5970.414  01:39:30.414        52  1.02(-0.08,+0.09)x10^-4         +8.096    0.064  1.86(-0.35,+0.36)x10^-5    triggered     -- 
