Lokal      	Galactic     	Teta            	R +- err
PB910106	"ESO093-003	"	1.3378953272985619	21.442+-0.108
         	"NGC0676	"	1.0405210988852878	21.442+-0.108
         	"NGC3838	"	1.0266765791020342	21.442+-0.108
         	"PGC061405	"	1.3906011142073844	21.442+-0.108
         	"ESO311-012	"	1.5208348122629944	21.442+-0.108
         	"PGC044433	"	1.0819277835492374	21.442+-0.108
         	"NGC5666	"	1.0403644445607811	21.442+-0.108
         	"NGC2350	"	1.3703375111861196	21.442+-0.108
         	"UGC10803	"	1.098994065212424	21.442+-0.108
         	"NGC4765	"	1.0024180805113017	21.442+-0.108
         	"NGC5692	"	1.0662259505593248	21.442+-0.108
         	"NGC1012	"	1.0000001544555726	21.442+-0.108
         	"ESO513-015	"	1.0283698012176032	21.442+-0.108
         	"NGC1302	"	1.0092654783392208	21.442+-0.108
         	"NGC3524	"	1.0739702452320272	21.442+-0.108
         	"NGC1291	"	1.0376522148431206	21.442+-0.108
         	"NGC7371	"	1.005907401612982	21.442+-0.108
         	"NGC5744	"	1.2528373669079436	21.442+-0.108
         	"NGC4245	"	1.0139350030109324	21.442+-0.108
         	"PGC013359	"	1.079512143159744	21.442+-0.108
         	"NGC2655	"	1.0924954645539935	21.442+-0.108
         	"ESO235-085	"	1.009251806532669	21.442+-0.108
         	"NGC4454	"	1.0052796896154088	21.442+-0.108
         	"NGC5101	"	1.0074793589568842	21.442+-0.108
         	"NGC5953	"	1.4091613213375993	21.442+-0.108
         	"NGC4293	"	1.1900658959054549	21.442+-0.108
         	"PGC069395	"	1.052074808720928	21.442+-0.108
         	"NGC4469	"	1.086533515735562	21.442+-0.108
         	"NGC0693	"	1.001331919300417	21.442+-0.108
         	"PGC072242	"	1.0004309560376539	21.442+-0.108
         	"NGC3955	"	1.0095030533430065	21.442+-0.108
         	"NGC1354	"	1.0437684856596106	21.442+-0.108
         	"NGC3448	"	1.211483895239899	21.442+-0.108
         	"UGC11920	"	1.0013123683295742	21.442+-0.108
         	"NGC1452	"	1.1209428968988264	21.442+-0.108
         	"PGC2125664	"	1.0309441106682338	21.442+-0.108
         	"NGC3885	"	1.7514026532247502	21.442+-0.108
         	"PGC1382460	"	1.001659975338537	21.442+-0.108
         	"NGC4691	"	1.591609257291622	21.442+-0.108
         	"NGC3166	"	1.0107588587778873	21.442+-0.108
         	"NGC2893	"	1.0168102463771256	21.442+-0.108
         	"NGC2681	"	1.1493097732250728	21.442+-0.108
         	"NGC6340	"	1.2345291543839274	21.442+-0.108
         	"NGC5363	"	1.0366803585730786	21.442+-0.108
         	"NGC6010	"	1.1185581259797774	21.442+-0.108
         	"NGC3730	"	1.7072379442865604	21.442+-0.108
         	"NGC5750	"	1.294298071636905	21.442+-0.108
         	"NGC4599	"	1.0727838341788403	21.442+-0.108
         	"NGC4457	"	1.1057116500423105	21.442+-0.108
         	"NGC7232	"	1.082662096262183	21.442+-0.108
         	"NGC4606	"	1.1113842901195656	21.442+-0.108
         	"NGC1079	"	1.2044859646351633	21.442+-0.108
         	"ESO027-021	"	1.1207900480941402	21.442+-0.108
         	"NGC7013	"	1.002633337697069	21.442+-0.108
         	"NGC2551	"	1.1250850224307074	21.442+-0.108
         	"NGC1415	"	1.172554591329428	21.442+-0.108
         	"PGC009541	"	1.1534475195912648	21.442+-0.108
         	"NGC2844	"	1.0064752111262076	21.442+-0.108
         	"NGC5121	"	1.3332612427778692	21.442+-0.108
         	"NGC1438	"	1.0101041259128059	21.442+-0.108
         	"NGC0586	"	1.561578761675684	21.442+-0.108
